time,open,high,low,Close,tick_volume,spread,real_volume
2024-05-28 12:00:00,1.087,1.08776,1.08671,1.08769,1999,2,0
2024-05-28 13:00:00,1.08768,1.08798,1.08754,1.08783,1622,2,0
2024-05-28 14:00:00,1.08783,1.0889,1.08782,1.0884,2616,2,0
2024-05-28 15:00:00,1.0884,1.08846,1.08747,1.08765,3317,2,0
2024-05-28 16:00:00,1.08764,1.08802,1.08636,1.0864,4507,2,0
2024-05-28 17:00:00,1.08641,1.08769,1.08578,1.08749,4807,2,0
2024-05-28 18:00:00,1.08748,1.08796,1.08712,1.08781,3069,2,0
2024-05-28 19:00:00,1.08782,1.08789,1.08705,1.08747,2125,2,0
2024-05-28 20:00:00,1.08746,1.08757,1.08644,1.08651,2957,2,0
2024-05-28 21:00:00,1.0865,1.08652,1.0855,1.08584,2431,2,0
2024-05-28 22:00:00,1.08585,1.08619,1.08558,1.08611,2065,2,0
2024-05-28 23:00:00,1.08612,1.08615,1.0856,1.08563,609,2,0
2024-05-29 00:00:00,1.0856,1.08595,1.0856,1.0858,1014,6,0
2024-05-29 01:00:00,1.08597,1.08597,1.0854300000000001,1.08565,620,2,0
2024-05-29 02:00:00,1.08566,1.08568,1.0851,1.08511,842,2,0
2024-05-29 03:00:00,1.08511,1.08519,1.08476,1.08512,1372,2,0
2024-05-29 04:00:00,1.08512,1.0857,1.08495,1.08516,1609,2,0
2024-05-29 05:00:00,1.08516,1.0854,1.08459,1.08462,1054,2,0
2024-05-29 06:00:00,1.08461,1.08484,1.08456,1.08472,1025,2,0
2024-05-29 07:00:00,1.08472,1.08483,1.08439,1.08477,898,2,0
2024-05-29 08:00:00,1.08478,1.08488,1.08442,1.08447,1083,2,0
2024-05-29 09:00:00,1.08447,1.08556,1.08447,1.0852,2463,2,0
2024-05-29 10:00:00,1.08521,1.08587,1.08506,1.08517,3076,2,0
2024-05-29 11:00:00,1.08518,1.08518,1.08291,1.08371,4391,2,0
2024-05-29 12:00:00,1.08372,1.08562,1.08368,1.08516,2582,2,0
2024-05-29 13:00:00,1.08515,1.08525,1.0841,1.08467,2052,2,0
2024-05-29 14:00:00,1.08466,1.08518,1.08353,1.08499,2837,2,0
2024-05-29 15:00:00,1.08498,1.08584,1.08461,1.08462,4260,2,0
2024-05-29 16:00:00,1.08463,1.08468,1.08317,1.08383,4921,2,0
2024-05-29 17:00:00,1.08384,1.08418,1.08111,1.08146,5795,2,0
2024-05-29 18:00:00,1.08145,1.08171,1.08088,1.0811,4189,2,0
2024-05-29 19:00:00,1.08109,1.08175,1.08074,1.08153,2693,2,0
2024-05-29 20:00:00,1.08153,1.08159,1.08072,1.08134,3076,2,0
2024-05-29 21:00:00,1.08134,1.08154,1.08047,1.08059,2139,2,0
2024-05-29 22:00:00,1.08059,1.08062,1.07999,1.08017,2120,2,0
2024-05-29 23:00:00,1.08019,1.0803,1.07999,1.08008,729,2,0
2024-05-30 00:00:00,1.08017,1.0804,1.08005,1.0803,246,9,0
2024-05-30 01:00:00,1.0804,1.0804,1.08001,1.08009,550,2,0
2024-05-30 02:00:00,1.0801,1.08023,1.07994,1.08012,887,2,0
2024-05-30 03:00:00,1.08011,1.08011,1.07953,1.07964,1682,2,0
2024-05-30 04:00:00,1.07964,1.08045,1.07955,1.07983,1882,2,0
2024-05-30 05:00:00,1.07983,1.07997,1.07938,1.07974,1402,2,0
2024-05-30 06:00:00,1.07975,1.07988,1.0796000000000001,1.0798,1327,2,0
2024-05-30 07:00:00,1.0798,1.07986,1.0792,1.07959,1389,2,0
2024-05-30 08:00:00,1.07958,1.07958,1.07882,1.07901,1750,2,0
2024-05-30 09:00:00,1.079,1.07965,1.07894,1.07955,2941,2,0
2024-05-30 10:00:00,1.07954,1.08112,1.07931,1.08085,4105,2,0
2024-05-30 11:00:00,1.08084,1.08185,1.08032,1.0815,3597,2,0
2024-05-30 12:00:00,1.08149,1.08182,1.08112,1.08128,3240,2,0
2024-05-30 13:00:00,1.08128,1.08198,1.08084,1.08174,2663,2,0
2024-05-30 14:00:00,1.08174,1.08217,1.08139,1.08182,2325,2,0
2024-05-30 15:00:00,1.08179,1.08327,1.08128,1.0829,5215,2,0
2024-05-30 16:00:00,1.0829,1.08336,1.08253,1.0829,5559,2,0
2024-05-30 17:00:00,1.08292,1.08443,1.08286,1.08406,5379,2,0
2024-05-30 18:00:00,1.08407,1.08451,1.0836,1.08362,3693,2,0
2024-05-30 19:00:00,1.08362,1.08422,1.08358,1.08399,2264,2,0
2024-05-30 20:00:00,1.08399,1.08432,1.08389,1.0839,1707,2,0
2024-05-30 21:00:00,1.0839,1.08399,1.0835,1.08368,1812,2,0
2024-05-30 22:00:00,1.08368,1.08368,1.08268,1.08301,2448,2,0
2024-05-30 23:00:00,1.08301,1.08328,1.0829,1.08323,759,2,0
2024-05-31 00:00:00,1.08288,1.0834,1.08288,1.08325,771,5,0
2024-05-31 01:00:00,1.08327,1.08339,1.08318,1.08334,714,2,0
2024-05-31 02:00:00,1.08334,1.08335,1.0830899999999999,1.08313,644,2,0
2024-05-31 03:00:00,1.08314,1.08335,1.08292,1.08321,1954,2,0
2024-05-31 04:00:00,1.08321,1.08335,1.08202,1.08202,2342,2,0
2024-05-31 05:00:00,1.08201,1.08225,1.08114,1.08114,1822,2,0
2024-05-31 06:00:00,1.08114,1.082,1.08111,1.08192,1529,2,0
2024-05-31 07:00:00,1.08193,1.08194,1.08155,1.08183,1219,2,0
2024-05-31 08:00:00,1.08182,1.08212,1.0817,1.08194,1449,2,0
2024-05-31 09:00:00,1.08198,1.08255,1.08145,1.08241,2817,2,0
2024-05-31 10:00:00,1.08242,1.08251,1.08166,1.08228,3586,2,0
2024-05-31 11:00:00,1.08227,1.08384,1.08225,1.08341,2855,2,0
2024-05-31 12:00:00,1.08341,1.08479,1.08335,1.08474,3485,2,0
2024-05-31 13:00:00,1.08475,1.08513,1.08446,1.08497,2534,2,0
2024-05-31 14:00:00,1.08497,1.08552,1.08481,1.08526,2628,2,0
2024-05-31 15:00:00,1.08526,1.08823,1.08493,1.08801,6328,2,0
2024-05-31 16:00:00,1.08801,1.08808,1.08652,1.08689,5337,2,0
2024-05-31 17:00:00,1.08687,1.08775,1.08511,1.08556,7104,2,0
2024-05-31 18:00:00,1.08555,1.08589,1.08417,1.0846,5495,2,0
2024-05-31 19:00:00,1.0846,1.0852,1.08397,1.08473,3268,2,0
2024-05-31 20:00:00,1.08473,1.08527,1.08453,1.0847,2007,2,0
2024-05-31 21:00:00,1.08471,1.0849,1.0841,1.08425,1902,2,0
2024-05-31 22:00:00,1.08425,1.08512,1.08406,1.08509,2652,2,0
2024-05-31 23:00:00,1.08508,1.08521,1.08462,1.08496,1206,2,0
2024-06-03 00:00:00,1.08464,1.0849,1.0844,1.08466,766,32,0
2024-06-03 01:00:00,1.08467,1.08544,1.08467,1.08511,1087,2,0
2024-06-03 02:00:00,1.08511,1.0853,1.08503,1.08525,770,2,0
2024-06-03 03:00:00,1.08524,1.08576,1.08513,1.08564,1540,2,0
2024-06-03 04:00:00,1.08563,1.08587,1.08547,1.08576,1649,2,0
2024-06-03 05:00:00,1.08576,1.0858,1.08519,1.0854,1354,2,0
2024-06-03 06:00:00,1.0854,1.08569,1.08493,1.08496,1249,2,0
2024-06-03 07:00:00,1.08496,1.08547,1.08491,1.08518,890,2,0
